,id,timestamp,age_range,industry,job,job_context,annual_salary,add_compensation,currency,other_currency,income_context,country,state,all_experience,field_experience,education-level,gender,race
1261,1262,2021-04-28 08:53:13,35-44,Life Sciences,Clinical Trial Set Up Manager,I design and set up global clinical trials.,74446,5188.0,USD,NaN,NaN,United States,Georgia,5-7 years,2 - 4 years,PhD,Woman,Black or African American
1262,1263,2021-04-28 08:56:24,55-64,Retail,Appliance specialist,NaN,33280,250.0,USD,NaN,NaN,United States,Michigan,31 - 40 years,31 - 40 years,College degree,Woman,White
1263,1264,2021-04-28 08:58:03,45-54,"Accounting, Banking & Finance",Senior Financial Analyst,Also a Certified Public Accountant,97200,0.0,USD,NaN,NaN,United States,Maryland,31 - 40 years,11 - 20 years,Master's degree,Woman,White
1264,1265,2021-04-28 09:07:42,25-34,Virtual reality,Analyst,Essentially project manager with some game design,55000,600.0,USD,NaN,NaN,United States,Georgia,1 year or less,1 year or less,College degree,Woman,White
1265,1266,2021-04-28 09:10:26,25-34,Nonprofits,Philanthropy Manager,NaN,102500,0.0,AUD/NZD,NaN,NaN,Australia,NaN,8 - 10 years,5-7 years,College degree,Woman,White
1266,1267,2021-04-28 09:12:11,25-34,Government and Public Administration,Park Superintendent,At a State Park,50400,0.0,USD,NaN,NaN,United States,Arkansas,8 - 10 years,8 - 10 years,Master's degree,Woman,White
1267,1268,2021-04-28 09:15:29,55-64,Recruitment or HR,"Sr. Director, Employee Benefits",NaN,21200,100000.0,USD,NaN,Bonus and vested stock,United States,Arizona,31 - 40 years,31 - 40 years,Master's degree,Woman,White
1268,1269,2021-04-28 09:21:03,35-44,Health care,Research Coordinator,Registered Nurse,81000,0.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1269,1270,2021-04-28 09:22:37,25-34,Business or Consulting,Consultant,NaN,90000,12000.0,USD,NaN,NaN,United States,NaN,2 - 4 years,1 year or less,Master's degree,Other or prefer not to answer,Asian or Asian American
1270,1271,2021-04-28 09:22:54,45-54,Food Manufacture,Platform Lead,R&D Lead for specific product platforms across Europe,63000,0.0,GBP,NaN,NaN,United Kingdom,NaN,21 - 30 years,21 - 30 years,PhD,Man,White
1271,1272,2021-04-28 09:24:18,25-34,"Accounting, Banking & Finance",Manager,NaN,83000,0.0,USD,NaN,NaN,United States,Minnesota,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
1271,1272,2021-04-28 09:24:18,25-34,"Accounting, Banking & Finance",Manager,NaN,83000,0.0,USD,NaN,NaN,United States,Minnesota,5-7 years,2 - 4 years,College degree,Woman,White
1272,1273,2021-04-28 09:28:30,25-34,Computing or Tech,Front End Software Engineer,Consulting,110000,10000.0,USD,NaN,NaN,United States,Minnesota,8 - 10 years,5-7 years,College degree,Man,White
1273,1274,2021-04-28 09:29:29,25-34,Biologist,Post-doctoral fellow,NaN,37000,0.0,GBP,NaN,NaN,United Kingdom,NaN,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
1274,1275,2021-04-28 09:30:12,25-34,"Accounting, Banking & Finance",Cost Analyst,Operations Researcher for DoD,89000,500.0,USD,NaN,NaN,United States,Alabama,2 - 4 years,2 - 4 years,College degree,Man,White
1275,1276,2021-04-28 09:31:21,35-44,Health care,Genetic Variant Analyst,NaN,70000,0.0,USD,NaN,NaN,United States,Kentucky,11 - 20 years,8 - 10 years,PhD,Woman,Another option not listed here or prefer not to answer
1276,1277,2021-04-28 09:33:43,35-44,Hospitality & Events,HR Assistant,NaN,41000,0.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,2 - 4 years,Master's degree,Woman,White
1277,1278,2021-04-28 09:33:44,35-44,Government and Public Administration,Epidemiologist,NaN,100000,0.0,USD,NaN,NaN,United States,Georgia,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
1278,1279,2021-04-28 09:34:06,35-44,"Marketing, Advertising & PR",Social Media Manager,NaN,90000,0.0,USD,NaN,NaN,United States,New York,11 - 20 years,11 - 20 years,College degree,Non-binary,White
1279,1280,2021-04-28 09:35:11,25-34,Media & Digital,Senior Editor,NaN,85000,6000.0,USD,NaN,NaN,United States,Massachusetts,2 - 4 years,2 - 4 years,Master's degree,Woman,White
1280,1281,2021-04-28 09:36:49,25-34,Biotechnology,Technical Product Manager,NaN,110000,11000.0,USD,NaN,"Additional monetary compensation is average 10% bonus, but it is discretionary so doesn't always happen, and could be more or less.",United States,Massachusetts,2 - 4 years,2 - 4 years,College degree,Woman,White
1281,1282,2021-04-28 09:38:26,35-44,Computing or Tech,Director of Project Management,NaN,111000,0.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,White
1282,1283,2021-04-28 09:38:53,35-44,"Accounting, Banking & Finance",Accounts Receivable,NaN,43000,0.0,USD,NaN,NaN,United States,Texas,5-7 years,5-7 years,Some college,Woman,White
1283,1284,2021-04-28 09:41:07,35-44,Health care,Communications Lead (hospital),NaN,34000,300.0,USD,NaN,NaN,United States,South Dakota,11 - 20 years,8 - 10 years,High School,Woman,Native American or Alaska Native
1283,1284,2021-04-28 09:41:07,35-44,Health care,Communications Lead (hospital),NaN,34000,300.0,USD,NaN,NaN,United States,South Dakota,11 - 20 years,8 - 10 years,High School,Woman,White
1284,1285,2021-04-28 09:43:39,25-34,Medical Research,Clinical Biospecimen Coordinator,NaN,43000,0.0,USD,NaN,NaN,United States,Massachusetts,8 - 10 years,2 - 4 years,College degree,Non-binary,White
1285,1286,2021-04-28 09:45:12,25-34,Computing or Tech,Lead Consultant,NaN,140000,5000.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,8 - 10 years,College degree,Man,White
1286,1287,2021-04-28 09:45:20,35-44,"Marketing, Advertising & PR",Marketing Operations Manager,"Implement, evaluate, improve workflow processes; manage marketing automation tools; marketing team project management",120000,12000.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,White
1287,1288,2021-04-28 09:48:20,25-34,Computing or Tech,Software Developer / Customer Integrations,"50% dev work, 50% customer support",105000,0.0,CAD,NaN,NaN,Canada,NaN,8 - 10 years,8 - 10 years,College degree,Woman,White
1288,1289,2021-04-28 09:49:26,25-34,"Accounting, Banking & Finance",Associate,Public Finance analyst,95000,12500.0,USD,NaN,NaN,United States,New York,8 - 10 years,5-7 years,Master's degree,Woman,White
1289,1290,2021-04-28 09:50:46,35-44,Law,Counsel,NaN,185000,0.0,GBP,NaN,NaN,United Kingdom,NaN,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
1290,1291,2021-04-28 09:55:20,35-44,Education (Primary/Secondary),Curriculum Designer,"I've been chronically underpaid according to research! Made $18/hr at my last FT salaried job, $35/hr at my second-to-last ""temp"" job of 3 years where I was hired as an assistant but ended up designing full-blown curriculum both for training teachers and for ready-to-deliver student experiences. Just wrapped an 8-week contract where I took $30/hr as a personal favor to the ED who I know personally. I'll answer the question below for my $30/hr position.",62400,0.0,USD,NaN,NaN,United States,Massachusetts,21 - 30 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
1290,1291,2021-04-28 09:55:20,35-44,Education (Primary/Secondary),Curriculum Designer,"I've been chronically underpaid according to research! Made $18/hr at my last FT salaried job, $35/hr at my second-to-last ""temp"" job of 3 years where I was hired as an assistant but ended up designing full-blown curriculum both for training teachers and for ready-to-deliver student experiences. Just wrapped an 8-week contract where I took $30/hr as a personal favor to the ED who I know personally. I'll answer the question below for my $30/hr position.",62400,0.0,USD,NaN,NaN,United States,Massachusetts,21 - 30 years,11 - 20 years,Master's degree,Woman,White
1291,1292,2021-04-28 09:55:23,25-34,Education (Higher Education),Assistant Professor,Humanities field,74000,5000.0,USD,NaN,I'm earning an extra 8000 this year due to moving reimbursements and summer stipends,United States,Indiana,5-7 years,5-7 years,PhD,Woman,White
1292,1293,2021-04-28 09:55:38,35-44,"Accounting, Banking & Finance",Translator,NaN,44000,10000.0,GBP,NaN,NaN,United Kingdom,NaN,11 - 20 years,8 - 10 years,Master's degree,Woman,White
1293,1294,2021-04-28 09:56:44,25-34,Business or Consulting,Administrative Assistant,NaN,33280,0.0,USD,NaN,NaN,United States,Michigan,8 - 10 years,5-7 years,College degree,Woman,White
1294,1295,2021-04-28 09:59:33,35-44,Science - QC lab,Team Lead,NaN,91794,0.0,AUD/NZD,NaN,NaN,Australia,NaN,8 - 10 years,8 - 10 years,Master's degree,Woman,White
1295,1296,2021-04-28 10:03:40,55-64,"Accounting, Banking & Finance",bookkeeper,NaN,39000,0.0,USD,NaN,NaN,United States,Maryland,21 - 30 years,21 - 30 years,College degree,Woman,White
1296,1297,2021-04-28 10:06:24,25-34,Computing or Tech,Workday Implementation Consultant,Technical consultant for Workday implementations,88000,0.0,USD,NaN,NaN,United States,Georgia,5-7 years,1 year or less,College degree,Woman,White
1297,1298,2021-04-28 10:07:24,35-44,Art & Design,Associate Principal,Architect (Principals are like VPs),93000,5000.0,USD,NaN,NaN,United States,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1298,1299,2021-04-28 10:10:21,35-44,Government and Public Administration,Scientific Program Specialist,"means nothing, not sure how they came up with it",109000,2000.0,USD,NaN,NaN,United States,Maryland,8 - 10 years,8 - 10 years,PhD,Woman,White
1299,1300,2021-04-28 10:10:26,25-34,Nonprofits,Associate Director,NaN,75000,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,8 - 10 years,College degree,Man,White
1300,1301,2021-04-28 10:10:29,25-34,Hospitality & Events,Events Specialist,Events Specialist at a Law firm,85000,0.0,USD,NaN,"Not sure if eligible for a bonus, since we did not receive one during COVID and this is my first year at this company",United States,New Jersey,8 - 10 years,8 - 10 years,College degree,Woman,Hispanic Latino or Spanish origin
1300,1301,2021-04-28 10:10:29,25-34,Hospitality & Events,Events Specialist,Events Specialist at a Law firm,85000,0.0,USD,NaN,"Not sure if eligible for a bonus, since we did not receive one during COVID and this is my first year at this company",United States,New Jersey,8 - 10 years,8 - 10 years,College degree,Woman,White
1301,1302,2021-04-28 10:10:45,35-44,"Accounting, Banking & Finance",Communications Director,NaN,122000,3000.0,USD,NaN,NaN,United States,Utah,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1302,1303,2021-04-28 10:11:12,25-34,Government and Public Administration,Library Associate,Non-MLIS librarian work in a large urban area.,54000,0.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,5-7 years,Master's degree,Non-binary,Native American or Alaska Native
1303,1304,2021-04-28 10:11:42,35-44,"Accounting, Banking & Finance",Senior Vice President,Acquisitions,350000,150000.0,USD,NaN,NaN,United States,Colorado,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
1304,1305,2021-04-28 10:11:48,35-44,Health care,Consultant obstetrician and gynaecologist,NaN,400000,100000.0,AUD/NZD,NaN,NaN,Australia,NaN,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
1305,1306,2021-04-28 10:13:57,25-34,Nonprofits,Grants Associate,NaN,63500,0.0,USD,NaN,NaN,United States,District of Columbia,5-7 years,5-7 years,College degree,Woman,White
1306,1307,2021-04-28 10:17:26,25-34,Computing or Tech,Senior software engineer,NaN,150000,15000.0,USD,NaN,NaN,United States,North Carolina,11 - 20 years,8 - 10 years,Some college,Woman,White
1307,1308,2021-04-28 10:21:30,25-34,Computing or Tech,Product Analyst/Scrum Master,NaN,49990,0.0,GBP,NaN,NaN,United Kingdom,NaN,8 - 10 years,5-7 years,Master's degree,Non-binary,Black or African American
1307,1308,2021-04-28 10:21:30,25-34,Computing or Tech,Product Analyst/Scrum Master,NaN,49990,0.0,GBP,NaN,NaN,United Kingdom,NaN,8 - 10 years,5-7 years,Master's degree,Non-binary,White
1308,1309,2021-04-28 10:26:34,25-34,Nonprofits,Digital Director,NaN,83000,0.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,8 - 10 years,College degree,Woman,White
1309,1310,2021-04-28 10:28:57,35-44,Philanthropy,Grant Administrator,NaN,55700,12000.0,USD,NaN,NaN,United States,New York,11 - 20 years,2 - 4 years,College degree,Woman,White
1310,1311,2021-04-28 10:29:06,25-34,Nonprofits,Associate Director of Adolescent Initiatives,NaN,78000,0.0,USD,NaN,NaN,United States,Ohio,8 - 10 years,8 - 10 years,NaN,Woman,White
1311,1312,2021-04-28 10:29:59,45-54,Health care,"senior manager, scientific affairs",NaN,160000,24000.0,USD,NaN,NaN,United States,Texas,21 - 30 years,11 - 20 years,Master's degree,NaN,White
1312,1313,2021-04-28 10:30:08,25-34,Computing or Tech,Information Security Analyst,NaN,86659,7600.0,USD,NaN,NaN,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Man,White
1313,1314,2021-04-28 10:30:35,35-44,Computing or Tech,Systems Developer,NaN,75000,5000.0,USD,NaN,Pension and health benefits add about 33% in value to the base salary.,United States,Vermont,11 - 20 years,11 - 20 years,College degree,Man,White
1314,1315,2021-04-28 10:31:21,45-54,Government and Public Administration,manager,NaN,119500,0.0,USD,NaN,NaN,United States,Michigan,21 - 30 years,21 - 30 years,Master's degree,Man,White
1315,1316,2021-04-28 10:32:50,35-44,"Accounting, Banking & Finance",Assistant Controller,NaN,57160,11000.0,USD,NaN,NaN,United States,Iowa,11 - 20 years,11 - 20 years,College degree,Woman,White
1316,1317,2021-04-28 10:33:50,25-34,Computing or Tech,VP Customer Support (Operations VP),B2B Customer Support (Operations),200000,30000.0,USD,NaN,"bonus is based on company performance, generally get 100%",United States,Massachusetts,11 - 20 years,8 - 10 years,Master's degree,Man,White
1317,1318,2021-04-28 10:35:37,25-34,Government and Public Administration,Clerk,NaN,41000,10000.0,USD,NaN,NaN,United States,Rhode Island,5-7 years,5-7 years,College degree,Woman,White
1318,1319,2021-04-28 10:50:51,35-44,Education (Higher Education),Employer Relations Manager,NaN,53000,0.0,USD,NaN,NaN,United States,South Carolina,11 - 20 years,2 - 4 years,Master's degree,Man,White
1319,1320,2021-04-28 10:51:06,18-24,Education (Primary/Secondary),Trainee Teacher,NaN,200000,0.0,GBP,NaN,"All food and a house come as part of the salary as work in a boarding school. Salary is for the full year's work but I have 18 weeks holiday out of term time, which makes the salary much more justifiable than it first appears.",United Kingdom,NaN,1 year or less,1 year or less,Master's degree,Woman,White
1320,1321,2021-04-28 10:54:25,35-44,Health care,Director of Reporting and Analytics,NaN,173000,0.0,USD,NaN,NaN,United States,Oklahoma,11 - 20 years,11 - 20 years,College degree,Woman,White
1321,1322,2021-04-28 10:59:20,35-44,Law,Associate Counsel,NaN,150000,0.0,USD,NaN,NaN,United States,Texas,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
1322,1323,2021-04-28 11:02:45,25-34,Government and Public Administration,Public Relations,NaN,120000,12000.0,USD,NaN,NaN,United States,District of Columbia,5-7 years,5-7 years,Master's degree,NaN,NaN
1323,1324,2021-04-28 11:05:46,25-34,Government and Public Administration,Government Contracts Administrator,NaN,45166,0.0,USD,NaN,General Clerk II wage determination,United States,Maryland,11 - 20 years,2 - 4 years,Master's degree,Non-binary,Hispanic Latino or Spanish origin
1323,1324,2021-04-28 11:05:46,25-34,Government and Public Administration,Government Contracts Administrator,NaN,45166,0.0,USD,NaN,General Clerk II wage determination,United States,Maryland,11 - 20 years,2 - 4 years,Master's degree,Non-binary,White
1324,1325,2021-04-28 11:07:50,25-34,"Accounting, Banking & Finance",Financial Controller,Construction Industry,85000,7500.0,USD,NaN,NaN,United States,Pennsylvania,8 - 10 years,8 - 10 years,College degree,Woman,White
1325,1326,2021-04-28 11:08:34,55-64,commodities trading,Legal Assistant,NaN,75000,2000.0,USD,NaN,NaN,United States,Connecticut,31 - 40 years,31 - 40 years,College degree,Woman,White
1326,1327,2021-04-28 11:10:18,25-34,"Accounting, Banking & Finance",Senior Associate,Asset management sales,90000,13000.0,USD,NaN,NaN,United States,Texas,2 - 4 years,2 - 4 years,College degree,Man,White
1327,1328,2021-04-28 11:10:51,35-44,Computing or Tech,Software Engineer II,NaN,85600,0.0,USD,NaN,NaN,United States,Oregon,8 - 10 years,2 - 4 years,College degree,Woman,White
1328,1329,2021-04-28 11:12:32,25-34,"Marketing, Advertising & PR",Marketing Support Specialist,NaN,53530,10210.0,USD,NaN,NaN,United States,Illinois,2 - 4 years,2 - 4 years,Master's degree,Man,White
1329,1330,2021-04-28 11:14:42,45-54,Education (Higher Education),Team Lead,NaN,102000,1000.0,USD,NaN,NaN,United States,California,21 - 30 years,11 - 20 years,Master's degree,Woman,White
1330,1331,2021-04-28 11:15:17,25-34,Union/political organizing,Field Director,NaN,103586,0.0,USD,NaN,NaN,United States,California,5-7 years,5-7 years,Some college,Woman,Black or African American
1331,1332,2021-04-28 11:19:09,25-34,Nonprofits,Donor Relations Specialist,A fundraiser specialized in stewarding current and prospective donors,51000,0.0,USD,NaN,I work hourly at 35 hours a week so my actual pay is around 43000/year,United States,Illinois,5-7 years,5-7 years,College degree,Non-binary,White
1332,1333,2021-04-28 11:21:16,45-54,Retail,Pricing coordinator,NaN,29000,0.0,USD,NaN,NaN,United States,Ohio,21 - 30 years,21 - 30 years,Some college,Woman,White
1333,1334,2021-04-28 11:23:04,35-44,Health care,Medical Staff Representative,NaN,48880,48880.0,USD,NaN,NaN,United States,North Carolina,8 - 10 years,1 year or less,College degree,Woman,White
1334,1335,2021-04-28 11:25:35,35-44,Law,Attorney,In-house counsel for non-profit hospital,112000,0.0,USD,NaN,NaN,United States,Colorado,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
1335,1336,2021-04-28 11:30:46,25-34,"Marketing, Advertising & PR",Public Relations Specialist,NaN,45000,2000.0,USD,NaN,NaN,United States,Montana,8 - 10 years,5-7 years,Master's degree,Woman,White
1336,1337,2021-04-28 11:33:46,18-24,Nonprofits,Regional Director,Oversee a region of canvass offices,33580,750.0,USD,NaN,Overtime is calculated into the annual salary this organization provides. Bonuses are given when an office or region beats its fundraising goals.,United States,Oregon,2 - 4 years,2 - 4 years,College degree,Woman,White
1337,1338,2021-04-28 11:36:38,45-54,Health care,IT Analyst,NaN,101000,0.0,USD,NaN,NaN,United States,Florida,21 - 30 years,5-7 years,College degree,Woman,White
1338,1339,2021-04-28 11:37:08,35-44,Computing or Tech,Senior Web Developer,NaN,132000,0.0,USD,NaN,NaN,United States,Oregon,8 - 10 years,8 - 10 years,College degree,Man,White
1339,1340,2021-04-28 11:37:35,25-34,Nonprofits,Customer Service,NaN,36000,0.0,USD,NaN,NaN,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White
1340,1341,2021-04-28 11:38:46,25-34,Business or Consulting,analyst,NaN,75000,0.0,USD,NaN,NaN,United States,Maryland,2 - 4 years,2 - 4 years,Master's degree,Woman,White
1341,1342,2021-04-28 11:39:58,25-34,"Accounting, Banking & Finance",Senior Associate,NaN,135000,70000.0,USD,NaN,NaN,United States,New York,5-7 years,2 - 4 years,College degree,Woman,White
1342,1343,2021-04-28 11:41:55,25-34,Insurance,Seminar Coordinator & Territory Manager,"I work for an FMO, helping our producers/agents plan events to attract new prospects.  I work with individual insurance agents and financial advisors but, am employed by the FMO.",50000,30000.0,USD,NaN,"Bonuses have been at least 30,000 every year I have worked here (since 2016) but as high as 80,000 one year",United States,Nevada,11 - 20 years,5-7 years,Some college,Woman,White
1343,1344,2021-04-28 11:48:15,45-54,Education (Higher Education),Assistant professor,NaN,70000,10000.0,CAD,NaN,NaN,Canada,NaN,8 - 10 years,5-7 years,PhD,Woman,White
1344,1345,2021-04-28 11:48:20,25-34,Computing or Tech,Senior Human Resources Generalist,NaN,75000,4000.0,USD,NaN,NaN,United States,Texas,8 - 10 years,8 - 10 years,College degree,Woman,White
1345,1346,2021-04-28 11:50:16,35-44,Education (Higher Education),"Postdoctoral Researcher, Anthropology",NaN,54000,0.0,USD,NaN,NaN,United States,Michigan,21 - 30 years,21 - 30 years,PhD,Woman,White
1346,1347,2021-04-28 11:58:32,35-44,Education (Higher Education),Associate Director,NaN,62616,1000.0,USD,NaN,NaN,United States,Texas,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1347,1348,2021-04-28 12:00:12,25-34,Government and Public Administration,Communications Director,NaN,45500,0.0,USD,NaN,NaN,United States,Massachusetts,2 - 4 years,1 year or less,College degree,Woman,White
1348,1349,2021-04-28 12:00:43,25-34,Art & Design,Brand Strategist,I work at a branding agency primarily focused on design. My primary responsibility is creating an overarching strategy for a project that is then executed into visual and written deliverables by designers and writers.,70000,0.0,USD,NaN,NaN,United States,Tennessee,8 - 10 years,5-7 years,College degree,Woman,White
1349,1350,2021-04-28 12:00:59,25-34,Transport or Logistics,Production Planner/Buyer,Production planning and raw material purchasing for manufacturing plant.,69000,1600.0,USD,NaN,NaN,United States,Maryland,8 - 10 years,5-7 years,College degree,Woman,White
1350,1351,2021-04-28 12:01:06,25-34,"Marketing, Advertising & PR",Head of Brand,NaN,87000,0.0,USD,NaN,NaN,United States,California,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
1351,1352,2021-04-28 12:01:33,25-34,Library science / part-time work/study,Library assistant,Library assistant at a community college academic library as a work/study position,24252,0.0,USD,NaN,NaN,United States,Michigan,1 year or less,1 year or less,Some college,Non-binary,White
1352,1353,2021-04-28 12:02:12,25-34,"Accounting, Banking & Finance",Senior Revenue Accountant,NaN,105000,0.0,USD,NaN,NaN,United States,California,2 - 4 years,2 - 4 years,Master's degree,Man,White
1353,1354,2021-04-28 12:02:53,25-34,"Marketing, Advertising & PR",Marketing Analyst,NaN,40000,0.0,USD,NaN,NaN,United States,New Jersey,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
1354,1355,2021-04-28 12:03:02,35-44,Customer Service,Product Application Support,Customer Service for specific products,38833,0.0,USD,NaN,NaN,United States,Minnesota,11 - 20 years,11 - 20 years,College degree,Woman,White
1355,1356,2021-04-28 12:03:40,35-44,Publishing,Senior Manager of Digital Production,NaN,75000,0.0,USD,NaN,NaN,United States,New York,21 - 30 years,21 - 30 years,College degree,Woman,White
1356,1357,2021-04-28 12:03:48,25-34,Computing or Tech,Software Engineer III,NaN,122000,2000.0,USD,NaN,There’s also stock options,United States,Pennsylvania,5-7 years,5-7 years,College degree,Man,White
1357,1358,2021-04-28 12:03:56,35-44,"Accounting, Banking & Finance",Associate General Counsel,In-house attorney in the financial industry,185000,45000.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Hispanic Latino or Spanish origin
1358,1359,2021-04-28 12:04:46,45-54,Computing or Tech,Senior engineer 1,NaN,130000,0.0,USD,NaN,NaN,United States,Washington,21 - 30 years,21 - 30 years,Some college,Woman,White
1359,1360,2021-04-28 12:05:16,25-34,Government and Public Administration,Senior Policy Analyst,I work for a provincial government in Canada,81000,0.0,CAD,NaN,NaN,Canada,NaN,8 - 10 years,8 - 10 years,Master's degree,Woman,White
1360,1361,2021-04-28 12:05:32,35-44,Engineering or Manufacturing,Translator/Interpreter,Japanese technical translation/interpreting,61000,2600.0,USD,NaN,NaN,United States,Ohio,5-7 years,5-7 years,College degree,Other or prefer not to answer,White
1361,1362,2021-04-28 12:05:41,35-44,"Accounting, Banking & Finance",Risk Manager,NaN,114300,10000.0,USD,NaN,NaN,United States,Oregon,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1362,1363,2021-04-28 12:06:34,35-44,Law,Sr. Admin Assistant,NaN,69000,6900.0,USD,NaN,NaN,United States,Texas,21 - 30 years,11 - 20 years,College degree,Woman,Black or African American
1363,1364,2021-04-28 12:07:06,35-44,Education (Higher Education),Director of Digital Media,Not a sales or marketing job. More of an online platforms/software for experiential learning.,73000,0.0,USD,NaN,NaN,United States,Texas,21 - 30 years,21 - 30 years,College degree,Woman,White
1364,1365,2021-04-28 12:07:06,35-44,Health care,Staff RN,NaN,69000,10000.0,USD,NaN,NaN,United States,Arizona,11 - 20 years,5-7 years,Master's degree,Woman,Hispanic Latino or Spanish origin
1365,1366,2021-04-28 12:07:25,35-44,"Marketing, Advertising & PR","Manager, Marketing",NaN,177000,50000.0,USD,NaN,The additional compensation is part cash bonus and part equity (RSUs).,United States,New York,11 - 20 years,8 - 10 years,College degree,Woman,White
1366,1367,2021-04-28 12:07:50,35-44,Education (Higher Education),Associate Director,"Associate Director of student services, including financial aid and student account",65000,0.0,USD,NaN,NaN,United States,Maryland,11 - 20 years,2 - 4 years,Master's degree,Woman,Black or African American
1367,1368,2021-04-28 12:08:13,25-34,Nonprofits,Assistant Director of Communications,NaN,71600,0.0,USD,NaN,NaN,United States,Georgia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
1368,1369,2021-04-28 12:09:10,25-34,Coffee - Importing,Quality Control Manager,NaN,95000,5000.0,USD,NaN,NaN,United States,New York,8 - 10 years,8 - 10 years,College degree,Non-binary,Middle Eastern or Northern African
1368,1369,2021-04-28 12:09:10,25-34,Coffee - Importing,Quality Control Manager,NaN,95000,5000.0,USD,NaN,NaN,United States,New York,8 - 10 years,8 - 10 years,College degree,Non-binary,White
1369,1370,2021-04-28 12:09:45,25-34,"Accounting, Banking & Finance",Biller,NaN,45000,0.0,USD,NaN,NaN,United States,Pennsylvania,5-7 years,2 - 4 years,Some college,Woman,White
1370,1371,2021-04-28 12:09:49,45-54,Government and Public Administration,Soil scientist,NaN,95500,0.0,USD,NaN,NaN,United States,Kansas,21 - 30 years,21 - 30 years,Master's degree,Man,White
1371,1372,2021-04-28 12:10:27,35-44,Hospitality & Events,Human Resources Director,Generalist/ HRBP,82000,0.0,USD,NaN,NaN,United States,California,11 - 20 years,11 - 20 years,Some college,Woman,White
1372,1373,2021-04-28 12:10:29,25-34,"Accounting, Banking & Finance",Senior Business Analyst,NaN,95000,3000.0,USD,NaN,NaN,United States,Texas,8 - 10 years,5-7 years,Master's degree,Woman,White
1373,1374,2021-04-28 12:10:48,35-44,Education (Primary/Secondary),Spanish teacher,NaN,46000,0.0,USD,NaN,NaN,United States,Arkansas,11 - 20 years,11 - 20 years,College degree,Woman,Hispanic Latino or Spanish origin
1374,1375,2021-04-28 12:10:58,35-44,"Marketing, Advertising & PR",Senior Martech Analyst,NaN,105000,15000.0,USD,NaN,NaN,United States,Tennessee,11 - 20 years,8 - 10 years,College degree,Man,White
1375,1376,2021-04-28 12:11:05,35-44,Librarian,Adult Services Librarian,NaN,45700,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,5-7 years,Master's degree,Non-binary,White
1376,1377,2021-04-28 12:11:56,35-44,Nonprofits,Director of Community Programs,NaN,35000,0.0,USD,NaN,NaN,United States,Oklahoma,11 - 20 years,11 - 20 years,College degree,Woman,White
1377,1378,2021-04-28 12:12:12,25-34,Nonprofits,Grants Manager,NaN,53000,0.0,USD,NaN,NaN,United States,Texas,8 - 10 years,8 - 10 years,Master's degree,Woman,Hispanic Latino or Spanish origin
1377,1378,2021-04-28 12:12:12,25-34,Nonprofits,Grants Manager,NaN,53000,0.0,USD,NaN,NaN,United States,Texas,8 - 10 years,8 - 10 years,Master's degree,Woman,White
1378,1379,2021-04-28 12:16:25,35-44,Health care,Registered Nurse,NaN,76000,20000.0,USD,NaN,NaN,United States,Nebraska,11 - 20 years,11 - 20 years,College degree,Woman,White
1379,1380,2021-04-28 12:17:01,35-44,Education (Higher Education),Senior Library Manager,NaN,65000,0.0,USD,NaN,NaN,United States,Indiana,11 - 20 years,11 - 20 years,Master's degree,Woman,White
1380,1381,2021-04-28 12:18:43,35-44,"Accounting, Banking & Finance",Vice President,Head of Investment Manager Research,257000,200000.0,USD,NaN,NaN,United States,Colorado,11 - 20 years,11 - 20 years,Master's degree,Man,White
